Timestamp;Log Entry Type;Data
1752;1;3,1,-3232,28820,69503
1752;1;3,2,40332,25989,641243,281,63043,19281,69414
1762;1;3,1,-3232,28820,69503
1762;1;3,2,40332,25989,641243,281,63043,19281,69414
1772;1;3,1,-3232,28820,69503
1772;1;3,2,40332,25989,641243,281,63043,19281,69414
1782;1;3,1,-3232,28820,69503
1782;1;3,2,40327,25970,641113,396,62923,19275,69454
1792;1;3,1,-3232,28820,69503
1792;1;3,2,40327,25970,641113,396,62923,19275,69454
1802;1;3,1,-3232,28820,69503
1802;1;3,2,40327,25970,641113,396,62923,19275,69454
1812;1;3,1,-3232,28820,69503
1812;1;3,2,40327,25970,641113,396,62923,19275,69454
1822;1;3,1,-3232,28820,69503
1822;1;3,2,40333,25949,641094,223,63086,19300,69494
1832;1;3,1,-3232,28820,69503
1832;1;3,2,40333,25949,641094,223,63086,19300,69494
1842;1;3,1,-3232,28820,69603
1842;1;3,2,40333,25949,641094,223,63086,19300,69494
1852;1;3,1,-3232,28820,69603
1852;1;3,2,40333,25949,641094,223,63086,19300,69494
1862;1;3,1,-3232,28820,69603
1862;1;3,2,40327,25973,641169,16585,62954,19325,69534
1872;1;3,1,-3232,28820,69603
1872;1;3,2,40327,25973,641169,16585,62954,19325,69534
1882;1;3,1,-3232,28820,69603
1882;1;3,2,40327,25973,641169,16585,62954,19325,69534
1892;1;3,1,-3232,28820,69603
1892;1;3,2,40327,25973,641169,16585,62954,19325,69534
1902;1;3,1,-3232,28820,69603
1902;1;3,2,40321,25967,641225,264,63008,19328,69574
1912;1;3,1,-3232,28820,69603
1912;1;3,2,40321,25967,641225,264,63008,19328,69574
1922;1;3,1,-3232,28820,69603
1922;1;3,2,40321,25967,641225,264,63008,19328,69574
1932;1;3,1,-3232,28820,69603
1932;1;3,2,40321,25967,641225,264,63008,19328,69574
1942;1;3,1,-3232,28820,69703
1942;1;3,2,40337,25960,641253,16593,62997,19438,69614
1952;1;3,1,-3232,28820,69703
