Timestamp;Log Entry Type;Data
1000;1;2,1,99645,2504,1043
1000;1;2,2,2,12,-911,0,0,0,1039
1000;1;2,2,-9,39,-638,0,0,0,1039
1000;1;3,1,99676,2481,1053
1000;1;3,2,-11,8,-945,13,11,-17,1049
1000;1;3,2,24,-13,-850,0,0,0,1049
990;3;1,-24,-2189
1010;1;1,1,99643,2644,1053
1010;1;1,2,-34,-21,-929,23,18,-21,1049
1010;1;1,2,-46,5,-863,0,0,0,1049
1010;1;2,1,99669,2506,1053
1010;1;2,2,9,6,-982,33,24,31,1049
1010;1;2,2,2,22,-816,0,0,0,1049
1010;1;3,1,99695,2480,1063
1010;1;3,2,-8,10,-978,4,1,-9,1059
1010;1;3,2,17,-3,-943,0,0,0,1059
1000;1;1,3,0,0,0,0,0,0,0,0,0,0
1000;1;2,3,0,0,0,0,0,0,0,0,0,0
1000;1;3,3,0,0,0,0,0,0,0,0,0,0
1000;3;1,-27,-1010
1020;1;1,1,99643,2644,1063
1020;1;1,2,-32,-23,-968,21,12,-15,1059
1020;1;1,2,-37,-1,-959,0,0,0,1059
1020;1;2,1,99645,2504,1063
1020;1;2,2,12,2,-1021,28,13,10,1059
1020;1;2,2,6,13,-907,0,0,-1,1059
1020;1;3,1,99673,2480,1073
1020;1;3,2,-6,11,-998,-1,-5,-5,1069
1020;1;3,2,13,1,-994,-19,16,15,1069
1010;3;1,-24,-474
1030;1;1,1,99643,2644,1073
1030;1;1,2,-30,-24,-988,21,10,-12,1069
1030;1;1,2,-32,-3,-1014,9,14,15,1069
1030;1;2,1,99665,2504,1073
1030;1;2,2,11,0,-1041,26,9,1,1069
1030;1;2,2,8,7,-958,28,15,-32,1069
1030;1;3,1,99673,2480,1083
1030;1;3,2,-4,9,-1011,-4,-9,-2,1079
1030;1;3,2,12,2,-1021,-12,8,8,1079
1020;3;2,-16,-177
1020;1;4,4,10978,0,181,3260
1040;1;1,1,99640,2643,1083
1040;1;1,2,-28,-23,-998,20,9,-9,1079
1040;1;1,2,-28,-5,-1042,1,4,2,1079
1040;1;2,1,99649,2506,1083
1040;1;2,2,10,-2,-1052,26,7,-4,1079
1040;1;2,2,8,4,-986,25,9,-31,1079
1040;1;3,1,99650,2480,1093
