Log Entry,Timestamp,Time_s,Log Entry Type,Sensor Board ID,Sensor Board Timestamp,Sensor Type,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z
169,970,0.97,SENSOR,3,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
172,980,0.98,SENSOR,1,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
173,980,0.98,SENSOR,1,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
175,980,0.98,SENSOR,2,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
176,980,0.98,SENSOR,2,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
178,980,0.98,SENSOR,3,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
179,980,0.98,SENSOR,3,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
182,990,0.99,SENSOR,1,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
183,990,0.99,SENSOR,1,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
185,990,0.99,SENSOR,2,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
186,990,0.99,SENSOR,2,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
188,990,0.99,SENSOR,3,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
189,990,0.99,SENSOR,3,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
192,1000,1.0,SENSOR,1,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
193,1000,1.0,SENSOR,1,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
195,1000,1.0,SENSOR,2,0,IMU_1,0.0,0.0,0.0,0.0,0.0,0.0
196,1000,1.0,SENSOR,2,0,IMU_2,0.0,0.0,0.0,0.0,0.0,0.0
198,1000,1.0,SENSOR,3,1039,IMU_1,-0.009765625,-0.0029296875,-0.853515625,0.0,0.0,0.0
199,1000,1.0,SENSOR,3,1039,IMU_2,0.037109375,-0.0302734375,-0.650390625,0.0,0.0,0.0
202,1010,1.01,SENSOR,1,1031,IMU_1,-0.041015625,0.0009765625,-0.732421875,0.0,0.0,0.0
203,1010,1.01,SENSOR,1,1039,IMU_2,-0.0546875,0.0205078125,-0.669921875,0.0,0.0,0.0
205,1010,1.01,SENSOR,2,1039,IMU_1,-0.0009765625,0.0078125,-0.888671875,0.0,0.0,0.0
206,1010,1.01,SENSOR,2,1039,IMU_2,-0.0029296875,0.0361328125,-0.6240234375,0.0,0.0,0.0
208,1010,1.01,SENSOR,3,1049,IMU_1,-0.0068359375,0.0029296875,-0.9208984375,0.5246913580246914,0.46296296296296297,-0.5864197530864198
209,1010,1.01,SENSOR,3,1049,IMU_2,0.025390625,-0.0146484375,-0.8271484375,0.0,0.0,0.0
215,1020,1.02,SENSOR,1,1049,IMU_1,-0.0283203125,-0.015625,-0.908203125,0.6481481481481481,0.46296296296296297,-0.5864197530864198
216,1020,1.02,SENSOR,1,1049,IMU_2,-0.0380859375,0.0087890625,-0.8447265625,0.0,0.0,0.0
218,1020,1.02,SENSOR,2,1049,IMU_1,0.0048828125,0.005859375,-0.9580078125,0.8950617283950618,0.8641975308641976,0.7716049382716049
219,1020,1.02,SENSOR,2,1049,IMU_2,0.0009765625,0.0224609375,-0.796875,0.0,0.0,0.0
221,1020,1.02,SENSOR,3,1059,IMU_1,-0.0048828125,0.00390625,-0.9541015625,0.1851851851851852,0.0925925925925926,-0.3395061728395062
222,1020,1.02,SENSOR,3,1059,IMU_2,0.0185546875,-0.0087890625,-0.9189453125,0.0,0.0,0.0
225,1030,1.03,SENSOR,1,1059,IMU_1,-0.02734375,-0.0185546875,-0.9453125,0.617283950617284,0.3703703703703704,-0.4012345679012346
226,1030,1.03,SENSOR,1,1059,IMU_2,-0.0302734375,0.001953125,-0.9404296875,0.0,0.0,0.0
228,1030,1.03,SENSOR,2,1059,IMU_1,0.0078125,0.0029296875,-0.99609375,0.7407407407407408,0.4012345679012346,0.2160493827160494
229,1030,1.03,SENSOR,2,1059,IMU_2,0.00390625,0.0126953125,-0.8857421875,0.0,0.0308641975308642,-0.0617283950617284
231,1030,1.03,SENSOR,3,1069,IMU_1,-0.0029296875,0.00390625,-0.974609375,0.0,-0.0925925925925926,-0.1851851851851852
232,1030,1.03,SENSOR,3,1069,IMU_2,0.015625,-0.0048828125,-0.9697265625,-0.5555555555555556,0.4938271604938272,0.3395061728395062
236,1040,1.04,SENSOR,1,1069,IMU_1,-0.0234375,-0.0205078125,-0.962890625,0.617283950617284,0.2777777777777778,-0.308641975308642
