Timestamp;Log Entry Type;Data
732;1;3,2-1073283072,-1073414144,-1021640576,2555904,4063424,524352,2082406592
742;1;3,1484835327,-1021116416,131264
742;1;3,2-1073283072,-1073414144,-1021640576,2555904,4063424,524352,1008206016
752;1;3,1484835327,-1021116416,131264
752;1;3,2-1073283072,-1073414144,-1021640576,2555904,4063424,524352,1008206016
762;1;3,1484835327,-1020788736,131264
762;1;3,2-1073283072,-1073414144,-1021640576,2555904,4063424,524352,1008206016
772;1;3,1484835327,-1020788736,131264
772;1;3,2-1073283072,-1073414144,-1021640576,2555904,4063424,524352,1008206016
782;1;3,1484835327,-1020461056,131264
782;1;3,2-1073283072,-1073414144,-1021640576,2555904,4063424,524352,1008206016
792;1;3,1484835327,-1020461056,3221291200
792;1;3,2-1073283072,-2147090432,-1020329856,-2144993280,4063424,524352,1008206016
802;1;3,1484835327,-1020133376,3221291200
802;1;3,2-1073283072,-2147090432,-1020329856,-2144993280,4063424,524352,1008206016
812;1;3,1484835327,-1020133376,3221291200
812;1;3,2-1073283072,-2147090432,-1020329856,-2144993280,4063424,524352,1008206016
822;1;3,1484835327,-1019805696,3221291200
822;1;3,2-1073283072,-2147090432,-1020329856,-2144993280,4063424,524352,1008206016
832;1;3,1484835327,-1019805696,3221291200
832;1;3,2-1073283072,-2147090432,-1020329856,-2144993280,4063424,524352,1008206016
842;1;3,1484835327,-1019478016,3221291200
842;1;3,2-1073283072,-2147090432,-1020329856,-2144993280,4063424,524352,1008206016
852;1;3,1484835327,-1019478016,3221291200
852;1;3,2-1073283072,-2147090432,-1020329856,-2144993280,4063424,524352,1008206016
862;1;3,1484835327,-1006567424,3221291008
862;1;3,2-1073283072,-2147090432,-1020329856,-2144993280,4063424,524352,1008206016
872;1;3,1484835327,-1006567424,3221291008
872;1;3,2-1073283072,-1073283072,-1006436224,2555904,4063424,524352,1008205824
882;1;3,1484835327,-1006239744,3221291008
882;1;3,2-1073283072,-1073283072,-1006436224,2555904,4063424,524352,2082406400
892;1;3,1484835327,-1006239744,3221291008
892;1;3,2-1073283072,-1073283072,-1006436224,2555904,4063424,524352,2082406400
902;1;3,1484835327,-1005912064,3221291008
902;1;3,2-1073283072,-1073283072,-1006436224,2555904,4063424,524352,1008205824
912;1;3,1484835327,-1005912064,3221291008
912;1;3,2-1073283072,-1073283072,-1006436224,2555904,4063424,524352,1008205824
922;1;3,1484835327,-1005584384,3221291008
922;1;3,2-1073283072,-1073283072,-1006436224,2555904,4063424,524352,1008205824
932;1;3,1484835327,-1005584384,3221291008
932;1;3,2-1073283072,-1073283072,-1006436224,2555904,4063424,524352,1008205824
942;1;3,1484835327,-1005256704,3221291008
942;1;3,2-1073283072,-1073283072,-1006436224,2555904,4063424,524352,1008205824
952;1;3,1484835327,-1005256704,3221291008
952;1;3,2-1073283072,-1073283072,-1005125504,2555904,4063424,524352,1008205824
962;1;3,1484835327,-1004929024,3221291008
962;1;3,2-1073283072,-1073283072,-1005125504,2555904,4063424,524352,1008205824
972;1;3,1484835327,-1004929024,3221291008
972;1;3,2-1073283072,-1073283072,-1005125504,2555904,4063424,524352,1008205824
982;1;3,1484835327,-1004601344,3221291008
982;1;3,2-1073283072,-1073283072,-1005125504,2555904,4063424,524352,1008205824
992;1;3,1484835327,-1004601344,3221291008
992;1;3,2-1073283072,-1073283072,-1005125504,2555904,4063424,524352,1008205824
1002;1;3,1484835327,-1004273664,3221291008
1002;1;3,2-1073283072,-1073283072,-1005125504,2555904,4063424,524352,1008205824
1012;1;3,1484835327,-1004273664,3221291008
1012;1;3,2-1073283072,-1073283072,-1005125504,2555904,4063424,524352,1008205824
2001;4;Controlling something...
2001;3;20202020
1022;1;3,1484835327,-1003945984,3221291008
1022;1;3,2-1073283072,-1073348608,-1003814784,1076297728,4063424,524352,1008205824
1032;1;3,1484835327,-1003945984,3221291008
1032;1;3,2-1073283072,-1073348608,-1003814784,1076297728,4063424,524352,1008205824
1042;1;3,1484835327,-1003618304,3221291008
1042;1;3,2-1073283072,-1073348608,-1003814784,1076297728,4063424,524352,1008205824
1052;1;3,1484835327,-1003618304,3221291008
1052;1;3,2-1073283072,-1073348608,-1003814784,1076297728,4063424,524352,1008205824
1062;1;3,1484835327,-1003290624,3221291008
1062;1;3,2-1073283072,-1073348608,-1003814784,1076297728,4063424,524352,1008205824
1072;1;3,1484835327,-1003290624,3221291008
1072;1;3,2-1073283072,-1073348608,-1003814784,1076297728,4063424,524352,1008205824
1082;1;3,1484835327,-1002962944,3221291008
1082;1;3,2-1073283072,-1073348608,-1003814784,1076297728,4063424,524352,1008205824
1092;1;3,1484835327,-1002962944,3221291008
1092;1;3,2-1073283072,-1073348608,-1003814784,1076297728,4063424,524352,1008205824
1102;1;3,1484835327,-1002635264,3221291008
1102;1;3,2-1073283072,-2147090432,-1002504064,2555904,4063424,524352,1008205824
1112;1;3,1484835327,-1002635264,3221291008
1112;1;3,2-1073283072,-2147090432,-1002504064,2555904,4063424,524352,1008205824
1122;1;3,1484835327,-1006501888,3221291072
1122;1;3,2-1073283072,-2147090432,-1002504064,2555904,4063424,524352,1008205824
1132;1;3,1484835327,-1006501888,3221291072
1132;1;3,2-1073283072,-2147090432,-1002504064,2555904,4063424,524352,1008205824
1142;1;3,1484835327,-1006174208,3221291072
1142;1;3,2-1073283072,-2147090432,-1002504064,2555904,4063424,524352,1008205824
1152;1;3,1484835327,-1006174208,3221291072
1152;1;3,2-1073283072,-2147090432,-1002504064,2555904,4063424,524352,1008205824
1162;1;3,1484835327,-1005846528,3221291072
1162;1;3,2-1073283072,-2147090432,-1002504064,2555904,4063424,524352,1008205824
1172;1;3,1484835327,-1005846528,3221291072
1172;1;3,2-1073283072,-2147090432,-1002504064,2555904,4063424,524352,1008205824
1182;1;3,1484835327,-1005518848,1073872960
1182;1;3,2-1073283072,458752,-1005387648,-1071251456,4063424,524352,1008205888
1192;1;3,1484835327,-1005518848,1073872960
1192;1;3,2-1073283072,458752,-1005387648,-1071251456,4063424,524352,1008205888
1202;1;3,1484835327,-1005191168,1073872960
1202;1;3,2-1073283072,458752,-1005387648,-1071251456,4063424,524352,1008205888
1212;1;3,1484835327,-1005191168,1073872960
1212;1;3,2-1073283072,458752,-1005387648,-1071251456,4063424,524352,1008205888
1222;1;3,1484835327,-1004863488,1073872960
1222;1;3,2-1073283072,458752,-1005387648,-1071251456,4063424,524352,1008205888
1232;1;3,1484835327,-1004863488,1073872960
1232;1;3,2-1073283072,458752,-1005387648,-1071251456,4063424,524352,1008205888
1242;1;3,1484835327,-1004535808,1073872960
1242;1;3,2-1073283072,458752,-1005387648,-1071251456,4063424,524352,1008205888
1252;1;3,1484835327,-1004535808,1073872960
1252;1;3,2-1073283072,458752,-1005387648,-1071251456,4063424,524352,1008205888
1262;1;3,1484835327,-1004208128,131136
1262;1;3,2-1073283072,1074200576,-1004076928,2555904,4063424,524352,1008205888
1272;1;3,1484835327,-1004208128,131136
1272;1;3,2-1073283072,1074200576,-1004076928,2555904,4063424,524352,1008205888
1282;1;3,1484835327,-1003880448,131136
1282;1;3,2-1073283072,1074200576,-1004076928,2555904,4063424,524352,1008205888
1292;1;3,1484835327,-1003880448,131136
